skill_id,skill_name,skill_type,description
1,Project Management,Soft Skill,Ability to lead and manage projects effectively.
2,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
3,Financial Analysis,Analytical,Ability to assess financial statements and budgets.
4,Python Programming,Technical,Proficiency in Python for software development.
5,Project Management,Soft Skill,Ability to lead and manage projects effectively.
6,Financial Analysis,Analytical,Ability to assess financial statements and budgets.
7,Marketing Strategy,Business,Expertise in brand development and digital marketing.
8,Project Management,Soft Skill,Ability to lead and manage projects effectively.
9,Marketing Strategy,Business,Expertise in brand development and digital marketing.
10,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
11,Python Programming,Technical,Proficiency in Python for software development.
12,Project Management,Soft Skill,Ability to lead and manage projects effectively.
13,Financial Analysis,Analytical,Ability to assess financial statements and budgets.
14,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
15,Marketing Strategy,Business,Expertise in brand development and digital marketing.
16,Project Management,Soft Skill,Ability to lead and manage projects effectively.
17,Project Management,Soft Skill,Ability to lead and manage projects effectively.
18,Python Programming,Technical,Proficiency in Python for software development.
19,Python Programming,Technical,Proficiency in Python for software development.
20,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
21,Python Programming,Technical,Proficiency in Python for software development.
22,Project Management,Soft Skill,Ability to lead and manage projects effectively.
23,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
24,Project Management,Soft Skill,Ability to lead and manage projects effectively.
25,Marketing Strategy,Business,Expertise in brand development and digital marketing.
26,Marketing Strategy,Business,Expertise in brand development and digital marketing.
27,Python Programming,Technical,Proficiency in Python for software development.
28,Python Programming,Technical,Proficiency in Python for software development.
29,Project Management,Soft Skill,Ability to lead and manage projects effectively.
30,Marketing Strategy,Business,Expertise in brand development and digital marketing.
31,Project Management,Soft Skill,Ability to lead and manage projects effectively.
32,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
33,Project Management,Soft Skill,Ability to lead and manage projects effectively.
34,Project Management,Soft Skill,Ability to lead and manage projects effectively.
35,Marketing Strategy,Business,Expertise in brand development and digital marketing.
36,Marketing Strategy,Business,Expertise in brand development and digital marketing.
37,Project Management,Soft Skill,Ability to lead and manage projects effectively.
38,Project Management,Soft Skill,Ability to lead and manage projects effectively.
39,Project Management,Soft Skill,Ability to lead and manage projects effectively.
40,Marketing Strategy,Business,Expertise in brand development and digital marketing.
41,Financial Analysis,Analytical,Ability to assess financial statements and budgets.
42,Marketing Strategy,Business,Expertise in brand development and digital marketing.
43,Project Management,Soft Skill,Ability to lead and manage projects effectively.
44,Marketing Strategy,Business,Expertise in brand development and digital marketing.
45,Marketing Strategy,Business,Expertise in brand development and digital marketing.
46,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
47,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
48,Financial Analysis,Analytical,Ability to assess financial statements and budgets.
49,Python Programming,Technical,Proficiency in Python for software development.
50,Python Programming,Technical,Proficiency in Python for software development.
51,Marketing Strategy,Business,Expertise in brand development and digital marketing.
52,Project Management,Soft Skill,Ability to lead and manage projects effectively.
53,Python Programming,Technical,Proficiency in Python for software development.
54,Graphic Design,Creative,"Skills in Adobe Photoshop, Illustrator, and digital art."
